miRNA,SRR1273998,SRR1273999,SRR1274000,SRR1274001
Hsa-Mir-10-P1a-v2_5p chr17 segs:1-30 cds:-:48579898-48579927,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a_3p*,40.0,46.0,27.0,32.0
Hsa-Mir-10-P1a_5p,83027.0,109348.0,89003.0,69724.0
Hsa-Mir-10-P1b-v1_3p* chr2 segs:1-29 cds:+:176150368-176150396,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v1_5p chr2 segs:1-30 cds:+:176150327-176150356,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_3p* chr2 segs:1-29 cds:+:176150367-176150395,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_5p chr2 segs:1-30 cds:+:176150328-176150357,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b_3p*,0.0,3.0,2.0,0.0
Hsa-Mir-10-P1b_5p,12541.0,9478.0,32055.0,6445.0
Hsa-Mir-10-P2a_3p*,73.0,56.0,56.0,31.0
Hsa-Mir-10-P2a_3p* chr11 segs:1-30 cds:-:122152234-122152263,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2a_5p,6490.0,22245.0,5485.0,8454.0
Hsa-Mir-10-P2a_5p chr11 segs:1-30 cds:-:122152269-122152298,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_3p*,47.0,43.0,30.0,15.0
Hsa-Mir-10-P2b_3p* chr19 segs:1-30 cds:+:51692654-51692683,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_5p,2345.0,6628.0,1732.0,3242.0
Hsa-Mir-10-P2b_5p chr19 segs:1-30 cds:+:51692616-51692645,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2c_3p*,584.0,425.0,383.0,232.0
Hsa-Mir-10-P2c_3p* chr21 segs:1-31 cds:+:16539136-16539166,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2c_5p,3578.0,6942.0,3539.0,4782.0
Hsa-Mir-10-P2c_5p chr21 segs:1-30 cds:+:16539099-16539128,0.0,0.0,0.0,0.0
Hsa-Mir-10-P3a_3p*,61.0,76.0,61.0,56.0
Hsa-Mir-10-P3a_3p* chr11 segs:1-30 cds:-:122099763-122099792,0.0,0.0,0.0,0.0
Hsa-Mir-10-P3a_5p,1445.0,3271.0,972.0,1750.0
Hsa-Mir-10-P3a_5p chr11 segs:1-30 cds:-:122099803-122099832,0.0,0.0,0.0,0.0
Hsa-Mir-10-P3b_3p*,13.0,8.0,7.0,9.0
Hsa-Mir-10-P3b_3p* chr19 segs:1-30 cds:+:51693304-51693333,0.0,0.0,0.0,0.0
Hsa-Mir-10-P3b_5p,7229.0,11370.0,4583.0,6074.0
Hsa-Mir-10-P3b_5p chr19 segs:1-32 cds:+:51693266-51693297,0.0,0.0,0.0,0.0
Hsa-Mir-10-P3c_3p*,2381.0,2113.0,1831.0,1722.0
Hsa-Mir-10-P3c_3p* chr21 segs:1-30 cds:+:16590290-16590319,0.0,0.0,0.0,0.0
Hsa-Mir-10-P3c_5p,3472.0,4929.0,2574.0,3068.0
Hsa-Mir-10-P3c_5p chr21 segs:1-30 cds:+:16590251-16590280,0.0,0.0,0.0,0.0
Hsa-Mir-101-P1-v1_3p chr1 segs:1-30 cds:-:65058436-65058465,0.0,0.0,0.0,0.0
Hsa-Mir-101-P1-v1_5p* chr1 segs:1-30 cds:-:65058471-65058500,0.0,0.0,0.0,0.0
Hsa-Mir-101-P1-v2_3p chr1 segs:1-30 cds:-:65058435-65058464,0.0,0.0,0.0,0.0
Hsa-Mir-101-P1-v2_5p* chr1 segs:1-30 cds:-:65058472-65058501,0.0,0.0,0.0,0.0
Hsa-Mir-101-P1_3p/P2_3p,91042.0,68847.0,54808.0,35937.0
Hsa-Mir-101-P1_5p*,102.0,111.0,63.0,62.0
Hsa-Mir-101-P2-v1_3p chr9 segs:1-30 cds:+:4850342-4850371,0.0,0.0,0.0,0.0
Hsa-Mir-101-P2-v1_5p* chr9 segs:1-31 cds:+:4850307-4850337,0.0,0.0,0.0,0.0
Hsa-Mir-101-P2-v2_3p chr9 segs:1-30 cds:+:4850343-4850372,0.0,0.0,0.0,0.0
Hsa-Mir-101-P2-v2_5p* chr9 segs:1-31 cds:+:4850306-4850336,0.0,0.0,0.0,0.0
Hsa-Mir-101-P2_5p*,0.0,0.0,9.0,0.0
Hsa-Mir-103-P1_3p chr5 segs:1-31 cds:-:168560898-168560928,0.0,0.0,0.0,0.0
Hsa-Mir-103-P1_3p/P2_3p/P3_3p,21533.0,18192.0,13017.0,7068.0
Hsa-Mir-103-P1_5p* chr5 segs:1-31 cds:-:168560935-168560965,0.0,0.0,0.0,0.0
Hsa-Mir-103-P1_5p*/P2_5p*,5.0,8.0,2.0,0.0
Hsa-Mir-103-P2_3p chr20 segs:1-31 cds:+:3917539-3917569,0.0,0.0,0.0,0.0
Hsa-Mir-103-P2_5p* chr20 segs:1-32 cds:+:3917502-3917533,0.0,0.0,0.0,0.0
Hsa-Mir-103-P3_3p chr10 segs:1-31 cds:-:89592750-89592780,0.0,0.0,0.0,0.0
Hsa-Mir-103-P3_5p*,3.0,6.0,5.0,5.0
Hsa-Mir-103-P3_5p* chr10 segs:1-31 cds:-:89592787-89592817,0.0,0.0,0.0,0.0
Hsa-Mir-105-P1_3p* chrX segs:1-31 cds:-:152392223-152392253,0.0,0.0,0.0,0.0
Hsa-Mir-105-P1_3p*/P2_3p*,0.0,0.0,0.0,0.0
Hsa-Mir-105-P1_5p chrX segs:1-32 cds:-:152392258-152392289,0.0,0.0,0.0,0.0
Hsa-Mir-105-P1_5p/P2_5p,0.0,0.0,0.0,0.0
Hsa-Mir-105-P2_3p* chrX segs:1-31 cds:-:152394416-152394446,0.0,0.0,0.0,0.0
Hsa-Mir-105-P2_5p chrX segs:1-32 cds:-:152394451-152394482,0.0,0.0,0.0,0.0
Hsa-Mir-1180_3p,77.0,32.0,24.0,22.0
Hsa-Mir-1180_3p chr17 segs:1-30 cds:-:19344507-19344536,0.0,0.0,0.0,0.0
Hsa-Mir-1180_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-1180_5p* chr17 segs:1-29 cds:-:19344542-19344570,0.0,0.0,0.0,0.0
Hsa-Mir-122-as_3p*,0.0,0.0,0.0,0.0
Hsa-Mir-122-as_3p* chr18 segs:1-30 cds:-:58451080-58451109,0.0,0.0,0.0,0.0
Hsa-Mir-122-as_5p,0.0,11.0,0.0,23.0
Hsa-Mir-122-as_5p chr18 segs:1-30 cds:-:58451116-58451145,0.0,0.0,0.0,0.0
Hsa-Mir-122_3p*,7470.0,7228.0,3059.0,3446.0
Hsa-Mir-122_3p* chr18 segs:1-30 cds:+:58451122-58451151,0.0,0.0,0.0,0.0
Hsa-Mir-122_3p*.SNPA chr18 segs:1-30 cds:+:58451122-58451151,0.0,0.0,0.0,0.0
Hsa-Mir-122_3p*.SNPC chr18 segs:1-30 cds:+:58451122-58451151,0.0,0.0,0.0,0.0
Hsa-Mir-122_5p,415302.0,450025.0,254127.0,269956.0
Hsa-Mir-122_5p chr18 segs:1-30 cds:+:58451086-58451115,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1-v1_3p chr8 segs:1-30 cds:-:9903393-9903422,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1-v1_5p* chr8 segs:1-30 cds:-:9903432-9903461,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1-v2_3p chr8 segs:1-30 cds:-:9903394-9903423,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1-v2_5p* chr8 segs:1-31 cds:-:9903431-9903461,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1_3p/P2_3p/P3_3p,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1_5p*/P2_5p*/P3_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-124-P2-v1_3p chr8 segs:1-30 cds:+:64379208-64379237,0.0,0.0,0.0,0.0
Hsa-Mir-124-P2-v1_5p* chr8 segs:1-30 cds:+:64379171-64379200,0.0,0.0,0.0,0.0
Hsa-Mir-124-P2-v2_3p chr8 segs:1-30 cds:+:64379207-64379236,0.0,0.0,0.0,0.0
Hsa-Mir-124-P2-v2_5p* chr8 segs:1-31 cds:+:64379171-64379201,0.0,0.0,0.0,0.0
Hsa-Mir-124-P3-v1_3p chr20 segs:1-30 cds:+:63178550-63178579,0.0,0.0,0.0,0.0
Hsa-Mir-124-P3-v1_5p* chr20 segs:1-30 cds:+:63178512-63178541,0.0,0.0,0.0,0.0
Hsa-Mir-124-P3-v2_3p chr20 segs:1-30 cds:+:63178549-63178578,0.0,0.0,0.0,0.0
Hsa-Mir-124-P3-v2_5p* chr20 segs:1-31 cds:+:63178512-63178542,0.0,0.0,0.0,0.0
Hsa-Mir-1247_3p*,17.0,12.0,7.0,0.0
Hsa-Mir-1247_3p* chr14 segs:1-29 cds:-:101560320-101560348,0.0,0.0,0.0,0.0
Hsa-Mir-1247_5p,85.0,36.0,118.0,16.0
Hsa-Mir-1247_5p chr14 segs:1-30 cds:-:101560356-101560385,0.0,0.0,0.0,0.0
Hsa-Mir-1249_3p,29.0,21.0,30.0,10.0
Hsa-Mir-1249_3p chr22 segs:1-30 cds:-:45200952-45200981,0.0,0.0,0.0,0.0
Hsa-Mir-1249_5p* chr22 segs:1-33 cds:-:45200986-45201018,0.0,0.0,0.0,0.0
Hsa-Mir-1251_3p* chr12 segs:1-29 cds:+:97491949-97491977,0.0,0.0,0.0,0.0
Hsa-Mir-1251_5p chr12 segs:1-29 cds:+:97491911-97491939,0.0,0.0,0.0,0.0
Hsa-Mir-1252_3p* chr12 segs:1-30 cds:+:79419296-79419325,0.0,0.0,0.0,0.0
Hsa-Mir-1252_5p,0.0,0.0,0.0,0.0
Hsa-Mir-1252_5p chr12 segs:1-30 cds:+:79419259-79419288,0.0,0.0,0.0,0.0
Hsa-Mir-1252_5p.SNPA chr12 segs:1-30 cds:+:79419259-79419288,0.0,0.0,0.0,0.0
Hsa-Mir-1252_5p.SNPC chr12 segs:1-30 cds:+:79419259-79419288,0.0,0.0,0.0,0.0
Hsa-Mir-126-v1_3p* chr9 segs:1-29 cds:+:136670652-136670680,0.0,0.0,0.0,0.0
Hsa-Mir-126-v1_5p chr9 segs:1-29 cds:+:136670614-136670642,0.0,0.0,0.0,0.0
Hsa-Mir-126-v2_3p chr9 segs:1-30 cds:+:136670651-136670680,0.0,0.0,0.0,0.0
Hsa-Mir-126-v2_5p* chr9 segs:1-30 cds:+:136670614-136670643,0.0,0.0,0.0,0.0
Hsa-Mir-126-v3_3p chr9 segs:1-31 cds:+:136670650-136670680,0.0,0.0,0.0,0.0
Hsa-Mir-126-v3_5p* chr9 segs:1-31 cds:+:136670614-136670644,0.0,0.0,0.0,0.0
Hsa-Mir-1266_3p* chr15 segs:1-30 cds:-:52277125-52277154,0.0,0.0,0.0,0.0
Hsa-Mir-1266_5p,7.0,0.0,0.0,0.0
Hsa-Mir-1266_5p chr15 segs:1-31 cds:-:52277160-52277190,0.0,0.0,0.0,0.0
Hsa-Mir-1269_3p,0.0,0.0,19.0,18.0
Hsa-Mir-1269_3p chr4 segs:1-30 cds:+:66276888-66276917,0.0,0.0,0.0,0.0
Hsa-Mir-1269_3p.SNPA chr4 segs:1-30 cds:+:66276888-66276917,0.0,0.0,0.0,0.0
Hsa-Mir-1269_3p.SNPC chr4 segs:1-30 cds:+:66276888-66276917,0.0,0.0,0.0,0.0
Hsa-Mir-1269_5p* chr4 segs:1-31 cds:+:66276846-66276876,0.0,0.0,0.0,0.0
Hsa-Mir-126_3p*,11905.0,11310.0,6479.0,5345.0
Hsa-Mir-126_5p,34300.0,58820.0,26822.0,39345.0
Hsa-Mir-1270_3p* chr19 segs:1-31 cds:-:20399278-20399308,0.0,0.0,0.0,0.0
Hsa-Mir-1270_5p,6.0,0.0,0.0,0.0
Hsa-Mir-1270_5p chr19 segs:1-31 cds:-:20399314-20399344,0.0,0.0,0.0,0.0
Hsa-Mir-1271_3p* chr5 segs:1-30 cds:+:176367994-176368023,0.0,0.0,0.0,0.0
Hsa-Mir-1271_5p,16.0,51.0,15.0,28.0
Hsa-Mir-1271_5p chr5 segs:1-30 cds:+:176367958-176367987,0.0,0.0,0.0,0.0
Hsa-Mir-1276_3p*,0.0,0.0,5.0,0.0
Hsa-Mir-1276_3p* chr15 segs:1-31 cds:-:85770502-85770532,0.0,0.0,0.0,0.0
Hsa-Mir-1276_5p,7.0,0.0,7.0,0.0
Hsa-Mir-1276_5p chr15 segs:1-30 cds:-:85770540-85770569,0.0,0.0,0.0,0.0
Hsa-Mir-1277_3p*,0.0,2.0,0.0,0.0
Hsa-Mir-1277_3p* chrX segs:1-30 cds:+:118386438-118386467,0.0,0.0,0.0,0.0
Hsa-Mir-1277_5p,80.0,47.0,46.0,27.0
Hsa-Mir-1277_5p chrX segs:1-30 cds:+:118386402-118386431,0.0,0.0,0.0,0.0
Hsa-Mir-1278_3p,2.0,3.0,0.0,0.0
Hsa-Mir-1278_3p chr1 segs:1-30 cds:+:193136550-193136579,0.0,0.0,0.0,0.0
Hsa-Mir-1278_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-1278_5p* chr1 segs:1-30 cds:+:193136511-193136540,0.0,0.0,0.0,0.0
Hsa-Mir-127_3p,6494.0,7716.0,6559.0,5278.0
Hsa-Mir-127_3p chr14 segs:1-30 cds:+:100883033-100883062,0.0,0.0,0.0,0.0
Hsa-Mir-127_5p*,52.0,34.0,48.0,19.0
Hsa-Mir-127_5p* chr14 segs:1-31 cds:+:100882999-100883029,0.0,0.0,0.0,0.0
Hsa-Mir-128-P1_3p chr2 segs:1-29 cds:+:135665444-135665472,0.0,0.0,0.0,0.0
Hsa-Mir-128-P1_3p/P2_3p,462.0,515.0,172.0,233.0
Hsa-Mir-128-P1_5p*,20.0,20.0,24.0,15.0
Hsa-Mir-128-P1_5p* chr2 segs:1-31 cds:+:135665409-135665439,0.0,0.0,0.0,0.0
Hsa-Mir-128-P2_3p chr3 segs:1-29 cds:+:35744525-35744553,0.0,0.0,0.0,0.0
Hsa-Mir-128-P2_5p* chr3 segs:1-31 cds:+:35744488-35744518,0.0,0.0,0.0,0.0
Hsa-Mir-1286_3p,6.0,5.0,0.0,3.0
Hsa-Mir-1286_3p chr22 segs:1-29 cds:-:20249139-20249167,0.0,0.0,0.0,0.0
Hsa-Mir-1286_5p* chr22 segs:1-29 cds:-:20249174-20249202,0.0,0.0,0.0,0.0
Hsa-Mir-1287_3p* chr10 segs:1-30 cds:-:98395226-98395255,0.0,0.0,0.0,0.0
Hsa-Mir-1287_5p,55.0,13.0,23.0,10.0
Hsa-Mir-1287_5p chr10 segs:1-30 cds:-:98395265-98395294,0.0,0.0,0.0,0.0
Hsa-Mir-129-P1_3p* chr7 segs:1-30 cds:+:128207918-128207947,0.0,0.0,0.0,0.0
Hsa-Mir-129-P1_3p*/P2_3p*,0.0,3.0,0.0,0.0
Hsa-Mir-129-P1_5p chr7 segs:1-29 cds:+:128207874-128207902,0.0,0.0,0.0,0.0
Hsa-Mir-129-P1_5p/P2_5p,0.0,0.0,0.0,0.0
Hsa-Mir-129-P2_3p* chr11 segs:1-30 cds:+:43581448-43581477,0.0,0.0,0.0,0.0
Hsa-Mir-129-P2_5p chr11 segs:1-29 cds:+:43581406-43581434,0.0,0.0,0.0,0.0
Hsa-Mir-1294_3p* chr5 segs:1-30 cds:+:154347188-154347217,0.0,0.0,0.0,0.0
Hsa-Mir-1294_5p,0.0,5.0,0.0,0.0
Hsa-Mir-1294_5p chr5 segs:1-30 cds:+:154347151-154347180,0.0,0.0,0.0,0.0
Hsa-Mir-1295_3p,8.0,11.0,0.0,6.0
Hsa-Mir-1295_3p chr1 segs:1-30 cds:-:171101731-171101760,0.0,0.0,0.0,0.0
Hsa-Mir-1295_5p* chr1 segs:1-30 cds:-:171101770-171101799,0.0,0.0,0.0,0.0
Hsa-Mir-1296_3p*,0.0,3.0,0.0,3.0
Hsa-Mir-1296_3p* chr10 segs:1-29 cds:-:63372963-63372991,0.0,0.0,0.0,0.0
Hsa-Mir-1296_5p,82.0,164.0,66.0,63.0
Hsa-Mir-1296_5p chr10 segs:1-30 cds:-:63373006-63373035,0.0,0.0,0.0,0.0
Hsa-Mir-1298_3p* chrX segs:1-30 cds:+:114715302-114715331,0.0,0.0,0.0,0.0
Hsa-Mir-1298_5p,0.0,0.0,0.0,0.0
Hsa-Mir-1298_5p chrX segs:1-30 cds:+:114715248-114715277,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1a_3p,4230.0,3839.0,2899.0,2193.0
Hsa-Mir-130-P1a_3p chr11 segs:1-30 cds:+:57641250-57641279,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1a_5p*,0.0,5.0,4.0,0.0
Hsa-Mir-130-P1a_5p* chr11 segs:1-30 cds:+:57641210-57641239,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1b_3p,250.0,155.0,93.0,125.0
Hsa-Mir-130-P1b_3p chr22 segs:1-30 cds:+:21653352-21653381,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1b_5p*,110.0,73.0,39.0,59.0
Hsa-Mir-130-P1b_5p* chr22 segs:1-30 cds:+:21653314-21653343,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2a_3p,580.0,424.0,316.0,214.0
Hsa-Mir-130-P2a_3p chr17 segs:1-31 cds:-:59151143-59151173,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2a_5p*,3.0,0.0,0.0,0.0
Hsa-Mir-130-P2a_5p* chr17 segs:1-30 cds:-:59151181-59151210,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2b_3p,66.0,55.0,34.0,28.0
Hsa-Mir-130-P2b_3p chr22 segs:1-31 cds:+:21653023-21653053,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2b_5p* chr22 segs:1-30 cds:+:21652988-21653017,0.0,0.0,0.0,0.0
Hsa-Mir-130-P4a_3p,427.0,373.0,252.0,143.0
Hsa-Mir-130-P4a_3p chr17 segs:1-33 cds:-:59137779-59137811,0.0,0.0,0.0,0.0
Hsa-Mir-130-P4a_5p*,13.0,20.0,6.0,0.0
Hsa-Mir-130-P4a_5p* chr17 segs:1-31 cds:-:59137821-59137851,0.0,0.0,0.0,0.0
Hsa-Mir-1301_3p,28.0,35.0,28.0,16.0
Hsa-Mir-1301_3p chr2 segs:1-32 cds:-:25328645-25328676,0.0,0.0,0.0,0.0
Hsa-Mir-1301_5p* chr2 segs:1-30 cds:-:25328683-25328712,0.0,0.0,0.0,0.0
Hsa-Mir-1307_3p,381.0,358.0,171.0,175.0
Hsa-Mir-1307_3p chr10 segs:1-31 cds:-:103394294-103394324,0.0,0.0,0.0,0.0
Hsa-Mir-1307_5p,1381.0,2072.0,1216.0,1369.0
Hsa-Mir-1307_5p chr10 segs:1-31 cds:-:103394333-103394363,0.0,0.0,0.0,0.0
Hsa-Mir-132-P1_3p,284.0,300.0,193.0,140.0
Hsa-Mir-132-P1_3p chr17 segs:1-30 cds:-:2049923-2049952,0.0,0.0,0.0,0.0
Hsa-Mir-132-P1_5p*,16.0,12.0,17.0,13.0
Hsa-Mir-132-P1_5p* chr17 segs:1-30 cds:-:2049959-2049988,0.0,0.0,0.0,0.0
Hsa-Mir-132-P2_3p*,16.0,24.0,24.0,10.0
Hsa-Mir-132-P2_3p* chr17 segs:1-30 cds:-:2050283-2050312,0.0,0.0,0.0,0.0
Hsa-Mir-132-P2_5p,6.0,12.0,5.0,4.0
Hsa-Mir-132-P2_5p chr17 segs:1-31 cds:-:2050322-2050352,0.0,0.0,0.0,0.0
Hsa-Mir-1323_3p* chr19 segs:1-29 cds:+:53672011-53672039,0.0,0.0,0.0,0.0
Hsa-Mir-1323_5p chr19 segs:1-30 cds:+:53671976-53672005,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v1_3p chr20 segs:1-31 cds:+:62564968-62564998,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v1_5p* chr20 segs:1-31 cds:+:62564931-62564961,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v2_3p chr20 segs:1-30 cds:+:62564969-62564998,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v2_5p* chr20 segs:1-30 cds:+:62564931-62564960,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1_3p/P2_3p/P3_3p,71.0,79.0,28.0,31.0
Hsa-Mir-133-P1_5p*/P2_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v1_3p chr18 segs:1-31 cds:-:21825705-21825735,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v1_5p* chr18 segs:1-31 cds:-:21825742-21825772,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v2_3p chr18 segs:1-30 cds:-:21825705-21825734,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v2_5p* chr18 segs:1-30 cds:-:21825743-21825772,0.0,0.0,0.0,0.0
Hsa-Mir-133-P3-v1_3p chr6 segs:1-30 cds:+:52148986-52149015,0.0,0.0,0.0,0.0
Hsa-Mir-133-P3-v1_5p* chr6 segs:1-30 cds:+:52148949-52148978,0.0,0.0,0.0,0.0
Hsa-Mir-133-P3-v2_3p chr6 segs:1-29 cds:+:52148987-52149015,0.0,0.0,0.0,0.0
Hsa-Mir-133-P3-v2_5p* chr6 segs:1-29 cds:+:52148949-52148977,0.0,0.0,0.0,0.0
Hsa-Mir-133-P3_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-1343_3p,8.0,0.0,0.0,0.0
Hsa-Mir-1343_3p chr11 segs:1-30 cds:+:34941886-34941915,0.0,0.0,0.0,0.0
Hsa-Mir-1343_5p* chr11 segs:1-30 cds:+:34941849-34941878,0.0,0.0,0.0,0.0
Hsa-Mir-134_3p*,0.0,6.0,0.0,0.0
Hsa-Mir-134_3p* chr14 segs:1-30 cds:+:101054731-101054760,0.0,0.0,0.0,0.0
Hsa-Mir-134_5p,142.0,100.0,147.0,62.0
Hsa-Mir-134_5p chr14 segs:1-30 cds:+:101054692-101054721,0.0,0.0,0.0,0.0
Hsa-Mir-135-P1_3p* chr3 segs:1-30 cds:-:52294227-52294256,0.0,0.0,0.0,0.0
